@fichero, bias_medio, bias_mediana, bias_desvTipica, dia_juliano
cali_0041,820.9243,821.0,2.9652,2458241.40613
cali_0042,820.7954,821.0,2.2239,2458241.40727
cali_0043,820.83,821.0,2.9652,2458241.40839
cali_0044,820.8109,821.0,2.2239,2458241.40953
cali_0045,820.7613,821.0,2.2239,2458241.41065
cali_0046,820.8122,821.0,2.2239,2458241.41178
cali_0047,820.7945,821.0,2.2239,2458241.41291
cali_0048,820.8821,821.0,2.9652,2458241.41404
cali_0049,820.8449,821.0,2.9652,2458241.41516
cali_0050,820.8572,821.0,2.9652,2458241.4163
cali_0051,820.9458,821.0,2.9652,2458241.41742
cali_0052,820.924,821.0,2.9652,2458241.41855
cali_0053,820.9154,821.0,2.9652,2458241.41968
cali_0054,820.883,821.0,2.9652,2458241.42081
cali_0055,820.8031,821.0,2.2239,2458241.42193
cali_0056,820.8053,821.0,2.2239,2458241.42307
cali_0057,820.7971,821.0,2.2239,2458241.42419
cali_0058,820.7559,821.0,2.2239,2458241.42532
cali_0059,820.8267,821.0,2.9652,2458241.42645
