60.5169,57.8296,55.6146,54.2658,53.047,51.7021,50.5857,49.45,48.6302,47.8472,47.35,46.7313,46.6509,46.7616,46.7689,47.0698,47.1729,47.8024,48.4882,49.09,50.2596,51.5874,52.701,54.5678,56.1011,57.7499,59.7524,61.7032,63.9196,67.1704,69.2546,71.823
75.3049,72.5836,70.208,68.8915,67.8143,66.388,65.2272,64.258,63.3141,62.5142,62.0396,61.5796,61.2786,61.2787,61.3186,61.4567,61.921,62.4142,63.1481,64.1156,65.0024,66.2078,67.4819,68.9118,70.6162,72.5326,74.2845,76.4523,78.2106,80.5673,84.1229,86.0369
89.8266,87.3384,85.0203,83.7655,82.6953,81.1391,79.9495,79.0212,78.2658,77.1654,76.7669,76.3045,75.9437,76.1975,75.9657,75.9997,76.6208,77.0918,77.7971,78.6358,79.635,80.9576,82.1383,83.5451,85.1439,86.9688,89.0126,91.0399,93.4745,96.0629,98.4012,100.8554
104.8766,102.1494,99.8524,98.4181,97.4189,96.1206,94.8311,93.7523,92.965,92.1225,91.5393,91.032,90.767,90.8508,90.7149,90.9944,91.5245,91.8238,92.5903,93.376,94.3988,95.6845,96.812,98.2789,100.0555,101.5937,103.8851,105.7623,108.2072,110.22,112.7653,115.6262
119.795,117.0898,114.8791,113.4629,112.3363,110.9043,109.749,108.5749,107.6762,106.8437,106.3167,106.0293,105.7645,105.5566,105.5183,105.9997,106.3227,106.6214,107.306,108.1021,109.1783,110.3343,111.7663,113.0313,114.6134,116.3743,118.6231,120.5289,122.4177,125.0202,127.3618,130.274
134.6635,132.0427,129.8415,128.4516,127.3005,125.9658,124.7066,123.3801,122.6108,121.7445,121.1397,120.9269,120.5005,120.5241,120.4268,120.6657,120.8704,121.4979,122.2759,123.1463,124.1423,125.0624,126.3997,127.7384,129.3587,131.2048,133.1332,135.3314,137.3869,139.7607,142.0902,144.9966
149.7297,147.2954,144.8637,143.5459,142.2967,140.8467,139.7056,138.3949,137.5596,136.7963,136.0929,135.7661,135.4629,135.4039,135.4239,135.5146,135.8888,136.4112,137.1597,138.0004,138.8856,139.9678,141.3602,142.7045,144.2926,145.9676,148.017,150.1296,152.428,154.6983,157.1054,159.8288
164.8143,162.1915,159.8605,158.6434,157.3761,155.9551,154.5695,153.5051,152.5557,151.9267,151.3113,150.9287,150.4726,150.3985,150.5027,150.4754,150.9511,151.3956,152.0714,152.8669,153.7256,154.8476,156.1601,157.5955,159.2182,160.9612,162.8823,164.7431,166.9184,169.5828,172.2008,174.5814
180.1792,177.2575,175.1237,173.8219,172.6102,171.1287,169.7289,168.7819,167.8609,166.9335,166.365,166.0492,165.7402,165.482,165.6334,165.6636,166.1779,166.5944,167.1922,167.8132,168.9457,169.9269,171.2485,172.7366,174.2,175.8999,177.8922,179.9396,182.1677,184.5725,187.0177,189.6358
195.5457,192.7341,190.5687,189.1253,187.8873,186.3889,185.1318,184.1149,183.0752,182.2969,181.6274,181.2241,180.9513,180.7125,180.6978,180.9103,181.2507,181.7426,182.3138,183.1489,184.128,185.1242,186.3679,187.8042,189.338,191.0387,192.8862,195.1101,197.4451,199.5737,201.8865,204.7661
210.9133,208.1691,205.9536,204.5425,203.318,201.7402,200.5259,199.3764,198.4992,197.7667,197.0421,196.6112,196.2428,196.1214,196.0176,196.3178,196.5412,196.9926,197.6368,198.3998,199.3441,200.4158,201.5886,203.0343,204.5972,206.3003,208.2218,210.1448,212.3952,214.6815,217.1938,219.9208
226.4802,223.6932,221.4545,220.0998,218.8155,217.3115,216.0863,214.8702,213.9519,213.0881,212.5812,211.9843,211.7766,211.5796,211.563,211.7134,211.9779,212.384,212.9396,213.7856,214.6632,215.7622,216.9928,218.4125,219.967,221.6369,223.5843,225.6139,227.7057,229.9511,232.5476,235.1754
242.1074,239.2396,237.1911,235.7437,234.4831,232.9338,231.6247,230.6577,229.6247,228.7496,228.1804,227.6534,227.2836,227.0891,227.0833,227.205,227.4689,227.9553,228.4392,229.2604,230.2248,231.2309,232.4804,233.8548,235.4703,237.0971,238.8724,240.8928,243.0784,245.4001,247.8985,250.4344
257.8785,255.1005,252.9966,251.5601,250.2722,248.6432,247.3393,246.2496,245.3055,244.538,243.7544,243.3436,242.9857,242.7717,242.7236,242.8475,243.1497,243.5634,244.1259,244.9147,245.8135,246.8932,248.0872,249.3498,250.9326,252.6693,254.4585,256.4357,258.5946,260.9258,263.3954,266.0172
273.8313,271.0691,268.9047,267.5059,266.1534,264.5676,263.2951,262.1173,261.1114,260.3479,259.6592,259.1715,258.7881,258.6293,258.4988,258.6925,258.9106,259.358,259.9749,260.6636,261.5546,262.6105,263.7549,265.273,266.6229,268.3457,270.155,272.1742,274.2333,276.5557,279.0086,281.6438
